"Statistic Label","Quarter","Private or Public Sector","UNIT","VALUE"
"Employment (Seasonally Adjusted)","2017Q4","Public sector","Number",""
"Employment (Seasonally Adjusted)","2017Q4","All sectors","Number",""
"Employment (Seasonally Adjusted)","2018Q1","Private sector","Number",""
"Employment (Seasonally Adjusted)","2018Q1","Public sector","Number",""
"Employment (Seasonally Adjusted)","2018Q1","All sectors","Number",""
"Employment (Seasonally Adjusted)","2018Q2","Private sector","Number",""
"Employment (Seasonally Adjusted)","2018Q2","Public sector","Number",""
"Employment (Seasonally Adjusted)","2018Q2","All sectors","Number",""
"Employment (Seasonally Adjusted)","2018Q3","Private sector","Number",""
"Employment (Seasonally Adjusted)","2018Q3","Public sector","Number",""
"Employment (Seasonally Adjusted)","2018Q3","All sectors","Number",""
"Employment (Seasonally Adjusted)","2018Q4","Private sector","Number",""
"Employment (Seasonally Adjusted)","2018Q4","Public sector","Number",""
"Employment (Seasonally Adjusted)","2018Q4","All sectors","Number",""
"Employment (Seasonally Adjusted)","2019Q1","Private sector","Number",""
"Employment (Seasonally Adjusted)","2019Q1","Public sector","Number",""
"Employment (Seasonally Adjusted)","2019Q1","All sectors","Number",""
"Employment (Seasonally Adjusted)","2019Q2","Private sector","Number",""
"Employment (Seasonally Adjusted)","2019Q2","Public sector","Number",""
"Employment (Seasonally Adjusted)","2019Q2","All sectors","Number",""
"Employment (Seasonally Adjusted)","2019Q3","Private sector","Number",""
"Employment (Seasonally Adjusted)","2019Q3","Public sector","Number",""
"Employment (Seasonally Adjusted)","2019Q3","All sectors","Number",""
"Employment (Seasonally Adjusted)","2019Q4","Private sector","Number",""
"Employment (Seasonally Adjusted)","2019Q4","Public sector","Number",""
"Employment (Seasonally Adjusted)","2019Q4","All sectors","Number",""
"Employment (Seasonally Adjusted)","2020Q1","Private sector","Number",""
"Employment (Seasonally Adjusted)","2020Q1","Public sector","Number",""
"Employment (Seasonally Adjusted)","2020Q1","All sectors","Number",""
"Employment (Seasonally Adjusted)","2020Q2","Private sector","Number",""
"Employment (Seasonally Adjusted)","2020Q2","Public sector","Number",""
"Employment (Seasonally Adjusted)","2020Q2","All sectors","Number",""
"Employment (Seasonally Adjusted)","2020Q3","Private sector","Number",""
"Employment (Seasonally Adjusted)","2020Q3","Public sector","Number",""
"Employment (Seasonally Adjusted)","2020Q3","All sectors","Number",""
"Employment (Seasonally Adjusted)","2020Q4","Private sector","Number",""
"Employment (Seasonally Adjusted)","2020Q4","Public sector","Number",""
"Employment (Seasonally Adjusted)","2020Q4","All sectors","Number",""
"Employment (Seasonally Adjusted)","2021Q1","Private sector","Number",""
"Employment (Seasonally Adjusted)","2021Q1","Public sector","Number",""
"Employment (Seasonally Adjusted)","2021Q1","All sectors","Number",""
"Employment (Seasonally Adjusted)","2021Q2","Private sector","Number",""
"Employment (Seasonally Adjusted)","2021Q2","Public sector","Number",""
"Employment (Seasonally Adjusted)","2021Q2","All sectors","Number",""
"Employment (Seasonally Adjusted)","2021Q3","Private sector","Number",""
"Employment (Seasonally Adjusted)","2021Q3","Public sector","Number",""
"Employment (Seasonally Adjusted)","2021Q3","All sectors","Number",""
"Employment (Seasonally Adjusted)","2021Q4","Private sector","Number",""
"Employment (Seasonally Adjusted)","2021Q4","Public sector","Number",""
"Employment (Seasonally Adjusted)","2021Q4","All sectors","Number",""
"Employment (Seasonally Adjusted)","2022Q1","Private sector","Number",""
"Employment (Seasonally Adjusted)","2022Q1","Public sector","Number",""
"Employment (Seasonally Adjusted)","2022Q1","All sectors","Number",""
"Employment (Seasonally Adjusted)","2022Q2","Private sector","Number",""
"Employment (Seasonally Adjusted)","2022Q2","Public sector","Number",""
"Employment (Seasonally Adjusted)","2022Q2","All sectors","Number",""
"Employment (Seasonally Adjusted)","2022Q3","Private sector","Number",""
"Employment (Seasonally Adjusted)","2022Q3","Public sector","Number",""
"Employment (Seasonally Adjusted)","2022Q3","All sectors","Number",""
"Employment (Seasonally Adjusted)","2022Q4","Private sector","Number",""
"Employment (Seasonally Adjusted)","2022Q4","Public sector","Number",""
"Employment (Seasonally Adjusted)","2022Q4","All sectors","Number",""
"Employment (Seasonally Adjusted)","2023Q1","Private sector","Number",""
"Employment (Seasonally Adjusted)","2023Q1","Public sector","Number",""
"Employment (Seasonally Adjusted)","2023Q1","All sectors","Number",""
"Employment (Seasonally Adjusted)","2023Q2","Private sector","Number",""
"Employment (Seasonally Adjusted)","2023Q2","Public sector","Number",""
"Employment (Seasonally Adjusted)","2023Q2","All sectors","Number",""
"Employment (Seasonally Adjusted)","2023Q3","Private sector","Number",""
"Employment (Seasonally Adjusted)","2023Q3","Public sector","Number",""
"Employment (Seasonally Adjusted)","2023Q3","All sectors","Number",""
"Employment (Seasonally Adjusted)","2023Q4","Private sector","Number",""
"Employment (Seasonally Adjusted)","2023Q4","Public sector","Number",""
"Employment (Seasonally Adjusted)","2023Q4","All sectors","Number",""
"Employment (Seasonally Adjusted)","2024Q1","Private sector","Number",""
"Employment (Seasonally Adjusted)","2024Q1","Public sector","Number",""
"Employment (Seasonally Adjusted)","2024Q1","All sectors","Number",""
"Employment (Seasonally Adjusted)","2024Q2","Private sector","Number",""
"Employment (Seasonally Adjusted)","2024Q2","Public sector","Number",""
"Employment (Seasonally Adjusted)","2024Q2","All sectors","Number",""
"Employment (Seasonally Adjusted)","2024Q3","Private sector","Number",""
"Employment (Seasonally Adjusted)","2024Q3","Public sector","Number",""
"Employment (Seasonally Adjusted)","2024Q3","All sectors","Number",""
"Employment (Seasonally Adjusted)","2024Q4","Private sector","Number",""
"Employment (Seasonally Adjusted)","2024Q4","Public sector","Number",""
"Employment (Seasonally Adjusted)","2024Q4","All sectors","Number",""
"Employment (Seasonally Adjusted)","2025Q1","Private sector","Number",""
"Employment (Seasonally Adjusted)","2025Q1","Public sector","Number",""
"Employment (Seasonally Adjusted)","2025Q1","All sectors","Number",""
"Employment (Seasonally Adjusted)","2025Q2","Private sector","Number",""
"Employment (Seasonally Adjusted)","2025Q2","Public sector","Number",""
"Employment (Seasonally Adjusted)","2025Q2","All sectors","Number",""
"Employment (Seasonally Adjusted)","2025Q3","Private sector","Number",""
"Employment (Seasonally Adjusted)","2025Q3","Public sector","Number",""
"Employment (Seasonally Adjusted)","2025Q3","All sectors","Number",""
"Employment (Seasonally Adjusted)","2025Q4","Private sector","Number",""
"Employment (Seasonally Adjusted)","2025Q4","Public sector","Number",""
"Employment (Seasonally Adjusted)","2025Q4","All sectors","Number",""
"Employment (Seasonally Adjusted)","2026Q1","Private sector","Number",""
"Employment (Seasonally Adjusted)","2026Q1","Public sector","Number",""
"Employment (Seasonally Adjusted)","2026Q1","All sectors","Number",""
"Average Weekly Earnings (Seasonally Adjusted)","2008Q1","Private sector","Euro","642.84"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q1","Public sector","Euro","917.2"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q1","All sectors","Euro","707.19"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q2","Private sector","Euro","636.83"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q2","Public sector","Euro","935.01"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q2","All sectors","Euro","708.64"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q3","Private sector","Euro","632.96"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q3","Public sector","Euro","917.86"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q3","All sectors","Euro","701.7"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q4","Private sector","Euro","631.73"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q4","Public sector","Euro","951.58"
"Average Weekly Earnings (Seasonally Adjusted)","2008Q4","All sectors","Euro","710.3"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q1","Private sector","Euro","631.62"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q1","Public sector","Euro","946.24"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q1","All sectors","Euro","712.38"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q2","Private sector","Euro","618.91"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q2","Public sector","Euro","950.39"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q2","All sectors","Euro","704.15"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q3","Private sector","Euro","618.41"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q3","Public sector","Euro","951.83"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q3","All sectors","Euro","702.93"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q4","Private sector","Euro","623.35"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q4","Public sector","Euro","960.89"
"Average Weekly Earnings (Seasonally Adjusted)","2009Q4","All sectors","Euro","711.14"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q1","Private sector","Euro","614.18"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q1","Public sector","Euro","906.5"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q1","All sectors","Euro","691.94"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q2","Private sector","Euro","621.12"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q2","Public sector","Euro","911.42"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q2","All sectors","Euro","700.05"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q3","Private sector","Euro","619.8"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q3","Public sector","Euro","928.51"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q3","All sectors","Euro","703.2"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q4","Private sector","Euro","622.05"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q4","Public sector","Euro","913.55"
"Average Weekly Earnings (Seasonally Adjusted)","2010Q4","All sectors","Euro","696.68"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q1","Private sector","Euro","607.3"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q1","Public sector","Euro","902.96"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q1","All sectors","Euro","686.57"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q2","Private sector","Euro","616.05"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q2","Public sector","Euro","895.67"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q2","All sectors","Euro","689.41"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q3","Private sector","Euro","616.08"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q3","Public sector","Euro","907.6"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q3","All sectors","Euro","689.32"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q4","Private sector","Euro","612.98"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q4","Public sector","Euro","916.52"
"Average Weekly Earnings (Seasonally Adjusted)","2011Q4","All sectors","Euro","692.53"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q1","Private sector","Euro","622.51"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q1","Public sector","Euro","925.06"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q1","All sectors","Euro","698.19"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q2","Private sector","Euro","617.64"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q2","Public sector","Euro","915.73"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q2","All sectors","Euro","692.3"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q3","Private sector","Euro","624.77"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q3","Public sector","Euro","917.49"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q3","All sectors","Euro","696.15"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q4","Private sector","Euro","618.31"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q4","Public sector","Euro","916.79"
"Average Weekly Earnings (Seasonally Adjusted)","2012Q4","All sectors","Euro","689.44"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q1","Private sector","Euro","619.94"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q1","Public sector","Euro","921.53"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q1","All sectors","Euro","690.6"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q2","Private sector","Euro","625.94"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q2","Public sector","Euro","925.4"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q2","All sectors","Euro","694.84"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q3","Private sector","Euro","622.81"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q3","Public sector","Euro","909.27"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q3","All sectors","Euro","689.55"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q4","Private sector","Euro","626.15"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q4","Public sector","Euro","906.18"
"Average Weekly Earnings (Seasonally Adjusted)","2013Q4","All sectors","Euro","691.81"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q1","Private sector","Euro","631.45"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q1","Public sector","Euro","908.82"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q1","All sectors","Euro","695.06"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q2","Private sector","Euro","628.69"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q2","Public sector","Euro","914.25"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q2","All sectors","Euro","693.31"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q3","Private sector","Euro","619.87"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q3","Public sector","Euro","901.19"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q3","All sectors","Euro","685.13"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q4","Private sector","Euro","639.17"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q4","Public sector","Euro","908.14"
"Average Weekly Earnings (Seasonally Adjusted)","2014Q4","All sectors","Euro","699.22"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q1","Private sector","Euro","632.78"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q1","Public sector","Euro","910.31"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q1","All sectors","Euro","695.55"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q2","Private sector","Euro","637.27"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q2","Public sector","Euro","910.86"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q2","All sectors","Euro","698.81"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q3","Private sector","Euro","641.24"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q3","Public sector","Euro","903.71"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q3","All sectors","Euro","702.13"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q4","Private sector","Euro","647.3"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q4","Public sector","Euro","925.06"
"Average Weekly Earnings (Seasonally Adjusted)","2015Q4","All sectors","Euro","708.12"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q1","Private sector","Euro","652.04"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q1","Public sector","Euro","905.71"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q1","All sectors","Euro","707.83"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q2","Private sector","Euro","651.66"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q2","Public sector","Euro","901.43"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q2","All sectors","Euro","706.77"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q3","Private sector","Euro","655.25"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q3","Public sector","Euro","915.56"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q3","All sectors","Euro","711.81"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q4","Private sector","Euro","660.02"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q4","Public sector","Euro","917.59"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q4","All sectors","Euro","715.22"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q1","Private sector","Euro","661.78"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q1","Public sector","Euro","921.21"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q1","All sectors","Euro","718.02"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q2","Private sector","Euro","661.31"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q2","Public sector","Euro","931.72"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q2","All sectors","Euro","720.81"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q3","Private sector","Euro","666.68"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q3","Public sector","Euro","941.02"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q3","All sectors","Euro","726.27"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q4","Private sector","Euro","670.87"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q4","Public sector","Euro","944.25"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q4","All sectors","Euro","730.98"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q1","Private sector","Euro","672.41"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q1","Public sector","Euro","955.84"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q1","All sectors","Euro","730.03"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q2","Private sector","Euro","681.33"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q2","Public sector","Euro","954.95"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q2","All sectors","Euro","743.19"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q3","Private sector","Euro","697.17"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q3","Public sector","Euro","964.73"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q3","All sectors","Euro","756.03"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q4","Private sector","Euro","697"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q4","Public sector","Euro","961.23"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q4","All sectors","Euro","754.81"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q1","Private sector","Euro","703.1"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q1","Public sector","Euro","963.22"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q1","All sectors","Euro","755.53"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q2","Private sector","Euro","707.79"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q2","Public sector","Euro","972.41"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q2","All sectors","Euro","769.25"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q3","Private sector","Euro","726.67"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q3","Public sector","Euro","977.15"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q3","All sectors","Euro","783.97"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q4","Private sector","Euro","725.63"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q4","Public sector","Euro","991.23"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q4","All sectors","Euro","791.4"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q1","Private sector","Euro","730.31"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q1","Public sector","Euro","992.84"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q1","All sectors","Euro","799.27"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q2","Private sector","Euro","749.97"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q2","Public sector","Euro","1001.35"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q2","All sectors","Euro","815.6"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q3","Private sector","Euro","751.15"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q3","Public sector","Euro","1000.42"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q3","All sectors","Euro","828.78"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q4","Private sector","Euro","792.21"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q4","Public sector","Euro","1023.23"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q4","All sectors","Euro","839.95"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q1","Private sector","Euro","784.95"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q1","Public sector","Euro","1040.26"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q1","All sectors","Euro","846.46"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q2","Private sector","Euro","789.48"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q2","Public sector","Euro","1024.82"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q2","All sectors","Euro","850.28"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q3","Private sector","Euro","796"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q3","Public sector","Euro","1051.22"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q3","All sectors","Euro","850.7"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q4","Private sector","Euro","816"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q4","Public sector","Euro","1027.75"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q4","All sectors","Euro","858.9"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q1","Private sector","Euro","820.89"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q1","Public sector","Euro","1026.77"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q1","All sectors","Euro","868.74"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q2","Private sector","Euro","820.41"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q2","Public sector","Euro","1041.01"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q2","All sectors","Euro","873.88"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q3","Private sector","Euro","834.56"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q3","Public sector","Euro","1058.99"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q3","All sectors","Euro","884.49"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q4","Private sector","Euro","838.66"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q4","Public sector","Euro","1141.66"
"Average Weekly Earnings (Seasonally Adjusted)","2022Q4","All sectors","Euro","896.5"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q1","Private sector","Euro","846.16"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q1","Public sector","Euro","1104.73"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q1","All sectors","Euro","908.35"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q2","Private sector","Euro","853.17"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q2","Public sector","Euro","1106.62"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q2","All sectors","Euro","913.7"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q3","Private sector","Euro","865.67"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q3","Public sector","Euro","1119.87"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q3","All sectors","Euro","919.91"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q4","Private sector","Euro","876.43"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q4","Public sector","Euro","1129.11"
"Average Weekly Earnings (Seasonally Adjusted)","2023Q4","All sectors","Euro","925.36"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q1","Private sector","Euro","888.53"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q1","Public sector","Euro","1145.68"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q1","All sectors","Euro","964.78"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q2","Private sector","Euro","902.84"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q2","Public sector","Euro","1158.68"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q2","All sectors","Euro","966.94"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q3","Private sector","Euro","911.96"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q3","Public sector","Euro","1172.37"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q3","All sectors","Euro","974.99"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q4","Private sector","Euro","925.41"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q4","Public sector","Euro","1198.26"
"Average Weekly Earnings (Seasonally Adjusted)","2024Q4","All sectors","Euro","985.91"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q1","Private sector","Euro","937.16"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q1","Public sector","Euro","1215.23"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q1","All sectors","Euro","999.2"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q2","Private sector","Euro","940.34"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q2","Public sector","Euro","1223.37"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q2","All sectors","Euro","1010.3"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q3","Private sector","Euro","944.81"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q3","Public sector","Euro","1241.33"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q3","All sectors","Euro","1020.2"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q4","Private sector","Euro","953.2"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q4","Public sector","Euro","1239.39"
"Average Weekly Earnings (Seasonally Adjusted)","2025Q4","All sectors","Euro","1027.05"
"Average Weekly Earnings (Seasonally Adjusted)","2026Q1","Private sector","Euro","972.19"
"Average Weekly Earnings (Seasonally Adjusted)","2026Q1","Public sector","Euro","1266.35"
"Average Weekly Earnings (Seasonally Adjusted)","2026Q1","All sectors","Euro","1033.59"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q1","Private sector","Euro","19.15"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q1","Public sector","Euro","28.73"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q1","All sectors","Euro","21.35"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q2","Private sector","Euro","19.26"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q2","Public sector","Euro","29.11"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q2","All sectors","Euro","21.55"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q3","Private sector","Euro","19.31"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q3","Public sector","Euro","28.94"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q3","All sectors","Euro","21.57"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q4","Private sector","Euro","19.49"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q4","Public sector","Euro","30.03"
"Average Hourly Earnings (Seasonally Adjusted)","2008Q4","All sectors","Euro","22.03"
"Average Hourly Earnings (Seasonally Adjusted)","2009Q1","Private sector","Euro","19.56"
"Average Hourly Earnings (Seasonally Adjusted)","2009Q1","Public sector","Euro","30.04"
"Average Hourly Earnings (Seasonally Adjusted)","2009Q1","All sectors","Euro","22.23"
"Average Hourly Earnings (Seasonally Adjusted)","2009Q2","Private sector","Euro","19.35"
"Average Hourly Earnings (Seasonally Adjusted)","2009Q2","Public sector","Euro","30.05"
"Average Hourly Earnings (Seasonally Adjusted)","2009Q2","All sectors","Euro","22.06"
"Average Hourly Earnings (Seasonally Adjusted)","2009Q3","Private sector","Euro","19.55"
"Average Hourly Earnings (Seasonally Adjusted)","2009Q3","Public sector","Euro","30.14"
"Average Hourly Earnings (Seasonally Adjusted)","2009Q3","All sectors","Euro","22.24"
"Average Hourly Earnings (Seasonally Adjusted)","2009Q4","Private sector","Euro","19.61"
