"Statistic Label","Quarter","Private or Public Sector","UNIT","VALUE"
"Average Weekly Earnings","2016Q2","Private sector","Euro","649.82"
"Average Weekly Earnings","2016Q2","Public sector","Euro","905.58"
"Average Weekly Earnings","2016Q2","All sectors","Euro","706.33"
"Average Weekly Earnings","2016Q3","Private sector","Euro","644.83"
"Average Weekly Earnings","2016Q3","Public sector","Euro","916.2"
"Average Weekly Earnings","2016Q3","All sectors","Euro","702.97"
"Average Weekly Earnings","2016Q4","Private sector","Euro","662.26"
"Average Weekly Earnings","2016Q4","Public sector","Euro","918.1"
"Average Weekly Earnings","2016Q4","All sectors","Euro","717.52"
"Average Weekly Earnings","2017Q1","Private sector","Euro","672.17"
"Average Weekly Earnings","2017Q1","Public sector","Euro","916.05"
"Average Weekly Earnings","2017Q1","All sectors","Euro","725.12"
"Average Weekly Earnings","2017Q2","Private sector","Euro","659.48"
"Average Weekly Earnings","2017Q2","Public sector","Euro","936.29"
"Average Weekly Earnings","2017Q2","All sectors","Euro","720.52"
"Average Weekly Earnings","2017Q3","Private sector","Euro","655.87"
"Average Weekly Earnings","2017Q3","Public sector","Euro","940.83"
"Average Weekly Earnings","2017Q3","All sectors","Euro","717.55"
"Average Weekly Earnings","2017Q4","Private sector","Euro","672.47"
"Average Weekly Earnings","2017Q4","Public sector","Euro","944.64"
"Average Weekly Earnings","2017Q4","All sectors","Euro","731.86"
"Average Weekly Earnings","2018Q1","Private sector","Euro","685.69"
"Average Weekly Earnings","2018Q1","Public sector","Euro","952.86"
"Average Weekly Earnings","2018Q1","All sectors","Euro","744.56"
"Average Weekly Earnings","2018Q2","Private sector","Euro","683.4"
"Average Weekly Earnings","2018Q2","Public sector","Euro","962.13"
"Average Weekly Earnings","2018Q2","All sectors","Euro","745.03"
"Average Weekly Earnings","2018Q3","Private sector","Euro","681.5"
"Average Weekly Earnings","2018Q3","Public sector","Euro","960.12"
"Average Weekly Earnings","2018Q3","All sectors","Euro","742.71"
"Average Weekly Earnings","2018Q4","Private sector","Euro","697.04"
"Average Weekly Earnings","2018Q4","Public sector","Euro","961.56"
"Average Weekly Earnings","2018Q4","All sectors","Euro","755.99"
"Average Weekly Earnings","2019Q1","Private sector","Euro","716.83"
"Average Weekly Earnings","2019Q1","Public sector","Euro","960.16"
"Average Weekly Earnings","2019Q1","All sectors","Euro","771.43"
"Average Weekly Earnings","2019Q2","Private sector","Euro","710.54"
"Average Weekly Earnings","2019Q2","Public sector","Euro","979.94"
"Average Weekly Earnings","2019Q2","All sectors","Euro","771.39"
"Average Weekly Earnings","2019Q3","Private sector","Euro","709.11"
"Average Weekly Earnings","2019Q3","Public sector","Euro","972.65"
"Average Weekly Earnings","2019Q3","All sectors","Euro","769.09"
"Average Weekly Earnings","2019Q4","Private sector","Euro","726.18"
"Average Weekly Earnings","2019Q4","Public sector","Euro","990.98"
"Average Weekly Earnings","2019Q4","All sectors","Euro","786.36"
"Average Weekly Earnings","2020Q1","Private sector","Euro","745.42"
"Average Weekly Earnings","2020Q1","Public sector","Euro","989.94"
"Average Weekly Earnings","2020Q1","All sectors","Euro","799.96"
"Average Weekly Earnings","2020Q2","Private sector","Euro","753.03"
"Average Weekly Earnings","2020Q2","Public sector","Euro","1008.74"
"Average Weekly Earnings","2020Q2","All sectors","Euro","817.34"
"Average Weekly Earnings","2020Q3","Private sector","Euro","731.01"
"Average Weekly Earnings","2020Q3","Public sector","Euro","997.2"
"Average Weekly Earnings","2020Q3","All sectors","Euro","795.04"
"Average Weekly Earnings","2020Q4","Private sector","Euro","792.92"
"Average Weekly Earnings","2020Q4","Public sector","Euro","1021.27"
"Average Weekly Earnings","2020Q4","All sectors","Euro","847.54"
"Average Weekly Earnings","2021Q1","Private sector","Euro","803.21"
"Average Weekly Earnings","2021Q1","Public sector","Euro","1038.28"
"Average Weekly Earnings","2021Q1","All sectors","Euro","860.45"
"Average Weekly Earnings","2021Q2","Private sector","Euro","791.36"
"Average Weekly Earnings","2021Q2","Public sector","Euro","1030.85"
"Average Weekly Earnings","2021Q2","All sectors","Euro","851.14"
"Average Weekly Earnings","2021Q3","Private sector","Euro","774.26"
"Average Weekly Earnings","2021Q3","Public sector","Euro","1050.75"
"Average Weekly Earnings","2021Q3","All sectors","Euro","838.47"
"Average Weekly Earnings","2021Q4","Private sector","Euro","815.66"
"Average Weekly Earnings","2021Q4","Public sector","Euro","1023.27"
"Average Weekly Earnings","2021Q4","All sectors","Euro","864.63"
"Average Weekly Earnings","2022Q1","Private sector","Euro","843.03"
"Average Weekly Earnings","2022Q1","Public sector","Euro","1026.29"
"Average Weekly Earnings","2022Q1","All sectors","Euro","887.17"
"Average Weekly Earnings","2022Q2","Private sector","Euro","820.92"
"Average Weekly Earnings","2022Q2","Public sector","Euro","1045.21"
"Average Weekly Earnings","2022Q2","All sectors","Euro","873.32"
"Average Weekly Earnings","2022Q3","Private sector","Euro","812.38"
"Average Weekly Earnings","2022Q3","Public sector","Euro","1061.21"
"Average Weekly Earnings","2022Q3","All sectors","Euro","869.17"
"Average Weekly Earnings","2022Q4","Private sector","Euro","835.52"
